model,init,seed,n,eps,coarse_grid,k_fine,steps,energy_rel_drift,virial_0,virial_f,coarse_g4_0,coarse_g8_0,coarse_g16_0,fine_knn_all_0,fine_pk_0,fine_close_0,fine_vel_disp_0,fine_fof_0,d_coarse_g8_early,d_coarse_g8_mid,d_coarse_g8_late,d_coarse_g4_early,d_coarse_g4_late,d_coarse_g16_early,d_coarse_g16_late,d_hmr_early,d_hmr_late,status,message
direct_isolated,hernquist3d,2020,256,0.05,8,16,600,0.0002753703031496772,2.2655629577827336,2.548908366159261,33.9208984375,2.0510101318359375,0.10455679893493652,1297.867247346153,289773858.70007,0.10004443598044817,1.2316571482833876,121,-0.8143196105957031,-1.1537361145019531,-1.0760688781738281,-8.038330078125,-18.196533203125,-0.05047398805618286,-0.059690773487091064,0.164327171264106,0.8612400731086977,ok,
direct_isolated,hernquist3d,2021,256,0.05,8,16,600,0.0002816263345020479,1.8062336353785176,1.6841999771819194,40.732177734375,2.6186180114746094,0.13225501775741577,1395.0576246694934,221685067.4243775,0.11477663230240549,1.1896160526896635,139,-1.1083984375,-0.800537109375,-0.8014945983886719,-8.0625,9.126220703125,-0.0594329833984375,-0.035381019115448,0.09780670354893922,0.421206251119493,ok,
direct_isolated,hernquist3d,2022,256,0.05,8,16,600,0.0009741560982037687,2.0912199754546106,2.175963427322121,31.169677734375,2.3422508239746094,0.12262672185897827,1549.496622232827,286586716.1203681,0.11550151975683891,1.2358787514762195,134,-0.6728782653808594,-0.8653564453125,-0.854949951171875,0.013916015625,-6.123046875,-0.04985088109970093,-0.06523847579956055,0.02599301088775907,0.6720098877634777,ok,
direct_isolated,hernquist3d,2023,256,0.05,8,16,600,0.00039953163598121355,2.2172419135763297,2.4033748710700613,36.46484375,2.61907958984375,0.1238698959350586,1510.6001413482213,270440280.7958977,0.11639549436795996,1.2610882402422625,131,-0.8448219299316406,-1.30364990234375,-0.8115577697753906,-2.959228515625,16.575927734375,-0.047410547733306885,-0.06007438898086548,0.19443513573531723,1.0109422301055493,ok,
direct_isolated,hernquist3d,2024,256,0.05,8,16,600,0.000399120091119387,1.8675090635399214,1.8021912589053448,41.572021484375,3.4593772888183594,0.15173953771591187,1735.3435664722308,252134076.95041525,0.1456024033979074,1.2343521359604044,135,-0.8539085388183594,-0.20304489135742188,-0.47344970703125,-3.665771484375,4.38671875,-0.026495397090911865,-0.04096698760986328,0.13111796571933454,0.31299141683737985,ok,
direct_isolated,hernquist3d,2025,256,0.05,8,16,600,0.00044084326578988116,1.8873375711171414,1.8212010668890855,35.859130859375,2.5864219665527344,0.12351220846176147,1143.1098061820546,230694888.06981456,0.10281735751295337,1.161483513235251,135,-0.8004264831542969,-0.60345458984375,-0.728485107421875,-6.336669921875,-6.841796875,-0.04549616575241089,-0.0560603141784668,0.09470439052392277,0.42235221937959444,ok,
direct_isolated,hernquist3d,2026,256,0.05,8,16,600,0.04214650596385936,2.001359474313229,2.002732463580281,38.8427734375,2.6689300537109375,0.1076200008392334,1017.1120606781827,227641796.9021306,0.09390524010469527,1.1915165006937385,145,-1.0092658996582031,-0.992431640625,-1.3233642578125,-9.077392578125,-6.1953125,-0.028007328510284424,-0.05577278137207031,0.11403440090950684,1.047750535822088,ok,
direct_isolated,hernquist3d,2027,256,0.05,8,16,600,0.000697871528249118,1.9330824835705303,1.899168443344365,33.296630859375,2.6674766540527344,0.15724939107894897,2000.8027149836455,266172889.72293824,0.13607054284926978,1.1636759839498594,121,-0.35577392578125,-0.6657676696777344,-0.26837158203125,1.10546875,8.10546875,-0.05548572540283203,-0.04826068878173828,0.0866157072096213,0.46763518985761354,ok,
direct_isolated,hernquist3d,2028,256,0.05,8,16,600,0.0003555268366892896,1.7770069598703335,1.6625659794064607,38.3427734375,3.2158050537109375,0.1540067195892334,2373.7969033564023,316037079.98883235,0.13300571550665027,1.1571256910028498,132,-0.8423042297363281,-0.4617500305175781,-0.7389106750488281,-1.298095703125,14.694091796875,-0.016731560230255127,-0.06022101640701294,0.1465312080749035,0.39451210165956263,ok,
direct_isolated,hernquist3d,2029,256,0.05,8,16,600,0.0006240908812947991,2.182825154276054,2.3899563600998954,35.191162109375,1.9602622985839844,0.10384076833724976,1459.76274442932,362971522.7161863,0.0708593472412568,1.236704842599111,150,-0.8079185485839844,-1.1987876892089844,-0.9829826354980469,-12.191162109375,-13.957763671875,-0.042073190212249756,-0.05573385953903198,0.17295846437575924,1.1001676416274255,ok,
