delta_early,G,density
-265,0.37224462365591393,0.38803447433308574
-128,0.23273601398601396,0.4914572560310773
-337,0.45199468085106387,0.17709258881689835
-373,0.42895599250936334,0.27394533628095225
-397,0.4619642857142857,0.32791989495686164
-408,0.5229779411764706,0.29683163421885517
-136,0.39318561872909696,0.49490158785974603
-114,0.22760826771653542,0.5041470264084349
-285,0.4361092931937173,0.12618247701323482
-206,0.10476190476190483,0.06158693224525832
-74,0.2222222222222222,0.5306183646838967
-231,0.3853911980440098,0.42775867476933316
-327,0.405383604206501,0.27543728922581207
-226,0.23259268060836502,0.07534549512359137
-306,0.3683252427184466,0.14467987061462825
-334,0.42963836477987416,0.3715679650487015
3,0.0078125,0.5733890720804499
-175,0.3275495750708215,0.4627468932551517
-246,0.41247171945701355,0.36544898766952866
-195,0.06212072820185244,0.0548931150151429
-200,0.04761904761904756,0.05877832051969088
31,-0.034762596899224785,0.567451993263753
-203,0.0,0.06280387982297676
-249,0.43600171232876717,0.4234618624680582
-264,0.5531968390804598,0.3946054914424113
-349,0.4104888613861386,0.19318290675000058
-361,0.37818113772455086,0.19484838574274663
-281,0.26007791327913277,0.11175837784697921
-70,0.17573051948051943,0.5225308680493768
-253,0.5410661764705882,0.42116362300849985
-311,0.52405647751606,0.16028175894754704
-348,0.464093137254902,0.22593491775981572
-375,0.5629621072088724,0.25018425950248047
-350,0.403183962264151,0.30041469743207266
-305,0.40047860360360366,0.147246876956282
-7,0.20922256097560976,0.5381922164682288
-350,0.4743890977443609,0.3022149131169037
-367,0.5093573446327684,0.24414664822189666
-325,0.39103835978835977,0.11998491006130838
-6,0.10494942196531792,0.549630759916121
-266,0.29812858166189116,0.1099541043206576
-325,0.5509430473372781,0.32702015519566485
-193,0.059631059631059635,0.05970535499640325
-281,0.3563718662952646,0.12193412010813158
-139,0.019148936170212738,0.04026195750693828
-361,0.5264959432048681,0.3086258780323664
-191,0.37238128491620115,0.455757171097875
-234,0.16822714007782102,0.07344772657670572
-365,0.5500910194174757,0.29753780448407613
-404,0.5179398148148148,0.25224995292545
-234,0.21553938356164382,0.08537331276418915
-127,0.0,0.030583967835236918
2,0.176024011299435,0.5554076168742914
-317,0.4298456477732794,0.3510975101410233
-50,0.11678106936416188,0.5301489891386821
-336,0.5090593434343434,0.32928465290448805
-337,0.5874204990215264,0.289543849002256
-2,0.06529605263157895,0.5243440754696467
26,0.12142565359477125,0.5570929440456883
-360,0.54125,0.2487140005983934
4,0.016702586206896575,0.566520405914961
-130,0.22662037037037042,0.48942680661996135
-344,0.3893314270152506,0.16032116923554526
-35,0.21999999999999997,0.5435211596024314
-205,0.3567208904109589,0.4411758390512771
-231,0.311858076563959,0.0663915549284127
-341,0.5321419133192389,0.37280344643461805
-206,0.008278618327148157,0.06805878651416652
-351,0.3213174273858921,0.35604424951720026
-347,0.4280225409836066,0.36263943378140984
-340,0.42397066074950696,0.3059384611241081
-208,0.060882800608828,0.05796955188414744
-286,0.45782930107526887,0.3921187039493555
-18,-0.006249999999999978,0.5774662662166319
-241,0.39259204275534443,0.4392269749219053
-305,0.40597826086956523,0.3870493224675216
-342,0.5023297713717694,0.25879792284746594
-69,0.25862292531120334,0.5298115474747526
-327,0.31131372017353576,0.3421628645557821
-314,0.4692982456140351,0.16911271403567493
-358,0.4665094339622642,0.2532053429920789
-313,0.4541160147991543,0.20074407393256183
-251,0.4824731503579952,0.41261996725247885
-340,0.3424536026200873,0.1640431289589066
-366,0.43326065891472865,0.29319075090027247
-276,0.4210597826086957,0.3646917411915701
-384,0.47740473977695164,0.24977932962235827
-193,0.23339212228101114,0.07739839543107838
-47,0.18409653465346537,0.5555251062599684
-325,0.41507633587786263,0.2649900880353843
-182,0.4094876126126126,0.46122641907035566
-50,0.3616477272727273,0.5260180912288426
-135,0.26718230897009965,0.4683125432377979
-144,0.26548252279635254,0.4699763453027864
-340,0.4386645962732919,0.18921615489631766
-266,0.4020127118644068,0.4130208859789235
-374,0.4552083333333333,0.17461514162495906
-268,0.32717849044379654,0.1139020712324709
-363,0.519295738045738,0.16765607691093226
-361,0.48561554820415875,0.28061824634613136
-330,0.2960461689587426,0.25649804148066335
-287,0.2631448412698413,0.12182688291649216
29,-0.13922764227642276,0.574715805585186
-340,0.47196601941747574,0.26377138983107734
-24,0.033653846153846145,0.5547174900848101
-274,0.36959792122538293,0.3778062283427961
-239,0.32991803278688525,0.08982331571627546
25,-0.10197368421052633,0.5613306857300457
-349,0.47961825626204235,0.30856870107781886
-38,0.260621921182266,0.5375572096273626
-100,0.18355978260869565,0.5441598943357527
15,-0.16013003355704697,0.5612296642954414
-334,0.4342460131332082,0.2511663280019435
-364,0.3334537572254336,0.29462808910410154
-318,0.5288337628865979,0.1753600352744347
-2,-0.18229166666666666,0.5652014177507098
-379,0.4155136022514071,0.21845809477209294
19,0.1408405172413793,0.5721356928341956
-273,0.5003174379232506,0.3959883285577075
-166,0.4509063444108762,0.46260868701759206
-354,0.4177241461100569,0.2116491204116953
-334,0.40336923847695394,0.22879759623523285
-348,0.33222336065573765,0.21184315026892456
-185,0.40056818181818177,0.4729341366647582
-390,0.5190018315018315,0.24439445584268085
-356,0.4154586501901141,0.23136206250539995
-377,0.5323932926829268,0.2655963869444065
-379,0.44553236397748597,0.23871792014988347
-270,0.5178571428571429,0.37083888500336315
-196,0.056783083867902095,0.05875271538019181
-366,0.38038488700564976,0.33135348767147227
-243,0.20700858667904387,0.07848324149238214
-346,0.4746963562753036,0.3539497245904522
-160,0.3413337628865979,0.4934009738415639
-361,0.47019617706237427,0.17508155800242114
-75,0.1711279880478087,0.5110063603482169
-344,0.40374186550976143,0.1753053919581703
-284,0.5154908798283262,0.363545769150728
-348,0.4823588709677419,0.2093459321211525
-350,0.3823335095137421,0.1685344070544599
-376,0.4140772128060264,0.27621071823931437
-212,0.3163957774798928,0.44545332158593204
-361,0.49230769230769234,0.27299877230428415
20,-0.16596638655462184,0.5710473480193875
-260,0.449350845410628,0.43090703002201974
-369,0.5230899419729207,0.2081135061136254
-339,0.44021476833976836,0.30585379584377076
-334,0.33902455849889623,0.14740373192995246
-335,0.3960953219315896,0.1832851583727498
-313,0.46141898608349896,0.2857469518617262
-318,0.47708785249457697,0.3602341028857052
-225,0.045030315416581534,0.06664665127080548
-304,0.22547468354430378,0.10281918387859712
-241,0.44533169533169537,0.42284090029789917
-100,0.28857954545454545,0.5016416858916577
-250,0.3195754716981132,0.10310228773712497
-365,0.41329887218045114,0.28883668307929955
-359,0.5210755813953488,0.20027485458155678
-65,0.07498150887573962,0.5558625100658511
-330,0.4325713087248322,0.15722448530383842
-228,0.42761299435028244,0.43528030659521144
-385,0.3508945167286245,0.3229000798938439
-274,0.36086956521739133,0.41488231779279666
-308,0.46060739436619713,0.34328454983314355
-365,0.47011116152450094,0.2976371401350388
-294,0.3530839715536105,0.1677534278556621
-179,0.32718321917808224,0.46018402998965613
-209,0.0876190476190476,0.06158500668566934
-351,0.519332627118644,0.2532523582825341
-343,0.5292706333973128,0.2539560820004832
-234,0.4043117088607595,0.4471113850119538
-54,0.417494769874477,0.518597389783881
-365,0.4198031767955801,0.32881196162861726
-134,0.2849751655629139,0.4622531081949973
-340,0.5294877819548872,0.2516075558022144
-214,0.20247323735695827,0.07615728381280798
-336,0.43820701357466063,0.14406916564008823
-92,0.2709153543307087,0.49837566413318807
-259,0.4064295977011494,0.10634913923001205
-164,0.3299463190184049,0.4650050233793029
-35,0.16051136363636365,0.558798496672199
-334,0.4684237995824635,0.19170633758243316
-370,0.5641558285163777,0.21079270875719316
-290,0.4310433884297521,0.37685558902239746
-315,0.3794642857142857,0.18499875206483485
-276,0.24612915407854985,0.09469573929066917
-307,0.36802944862155385,0.12190483267856293
-322,0.3605425824175824,0.17759067789162525
-273,0.3788966049382716,0.13533477458874907
-331,0.41605648535564854,0.3364922029353572
-342,0.462890625,0.20759226810047865
-341,0.4723360655737705,0.35062780982868297
-330,0.5443007662835249,0.21048736956276554
-38,0.16470994475138123,0.5628999473724555
-315,0.3451776649746193,0.12330309806743688
-65,0.014410621761658027,0.5342180628172479
-354,0.5396400778210116,0.21711579965852004
-267,0.10890809467321927,0.08352532994969296
-291,0.22452858880778592,0.14062803002343785
-142,0.3610197368421053,0.4989649156982505
-81,0.22499999999999998,0.5159667930089161
-281,0.3807840616966581,0.12607775285932188
-331,0.44879201680672265,0.19645576594578182
-260,0.5206545064377682,0.3576561031192767
-344,0.4504602713178295,0.31139046662133646
-242,0.384998268698061,0.10686465702895345
-265,0.40226540114613185,0.10909632679511917
-375,0.3944940476190476,0.3409455361936279
-116,0.3786764705882353,0.5083186166686691
-332,0.3934420859538784,0.3129056383938509
-210,0.10340136054421778,0.06775335404365601
-336,0.469106463878327,0.30842436438742965
-289,0.5151377338877339,0.31846451735086895
-387,0.431640625,0.20776229342473818
-322,0.44459033613445376,0.36717863937381007
-269,0.4516106828193832,0.38829748269329806
-178,0.4521857923497268,0.44820891188288
-246,0.33072916666666663,0.41077561045447664
-151,0.3204991467576792,0.48450811823583795
-222,0.3408768891687658,0.4165441852862882
-201,0.14509436487752636,0.06732314971651736
-276,0.44961453744493396,0.35390196085501535
-300,0.46626106194690264,0.40982881334755245
-280,0.37537301061007955,0.129102590619823
-342,0.419330636743215,0.17625662237972012
-81,0.3144622093023256,0.544686199123282
-358,0.35872123430962344,0.3225600931032574
-262,0.47409722222222217,0.18056927396068997
-210,0.0640404929577465,0.06010784318803712
6,0.04163656069364163,0.5589496252626998
-387,0.4813450570342205,0.32216843204288836
-336,0.4442567567567568,0.15402355743001472
-327,0.40070564516129037,0.24801006134599105
-418,0.4311331775700935,0.23533059132607118
-349,0.5279960131332082,0.27675241572247483
-287,0.3871527777777778,0.374290733734552
-266,0.34259946555819476,0.4086124898064611
-352,0.29758121468926557,0.2777137525755571
-190,0.410625,0.4426701616079153
-290,0.47121710526315785,0.18730909650309766
-255,0.2022971854304636,0.0930137644413649
-162,0.05049261083743839,0.04361509296967164
