label,step,net_F_cum,net_C_cum,G,world_id
G>0,104,-360,-23,0.6212830396475771,687
G>0,105,-358,-22,0.6212830396475771,687
G>0,106,-362,-23,0.6212830396475771,687
G>0,107,-367,-22,0.6212830396475771,687
G>0,108,-334,-22,0.6212830396475771,687
G>0,109,-370,-20,0.6212830396475771,687
G>0,110,-346,-20,0.6212830396475771,687
G>0,111,-367,-20,0.6212830396475771,687
G>0,112,-347,-21,0.6212830396475771,687
G>0,113,-353,-20,0.6212830396475771,687
G>0,114,-341,-19,0.6212830396475771,687
G>0,115,-358,-20,0.6212830396475771,687
G>0,116,-331,-21,0.6212830396475771,687
G>0,117,-363,-22,0.6212830396475771,687
G>0,118,-332,-22,0.6212830396475771,687
G>0,119,-344,-21,0.6212830396475771,687
G>0,120,-345,-20,0.6212830396475771,687
G>0,121,-359,-21,0.6212830396475771,687
G>0,122,-347,-19,0.6212830396475771,687
G>0,123,-347,-21,0.6212830396475771,687
G>0,124,-341,-21,0.6212830396475771,687
G>0,125,-357,-22,0.6212830396475771,687
G>0,126,-370,-24,0.6212830396475771,687
G>0,127,-366,-21,0.6212830396475771,687
G>0,128,-370,-23,0.6212830396475771,687
G>0,129,-364,-25,0.6212830396475771,687
G>0,130,-371,-25,0.6212830396475771,687
G>0,131,-376,-23,0.6212830396475771,687
G>0,132,-358,-25,0.6212830396475771,687
G>0,133,-378,-26,0.6212830396475771,687
G>0,134,-356,-30,0.6212830396475771,687
G>0,135,-379,-28,0.6212830396475771,687
G>0,136,-376,-28,0.6212830396475771,687
G>0,137,-373,-28,0.6212830396475771,687
