iso_embedded_50,iso_alone_50,G_0_250,density
47,5,0.47407280219780223,0.3139850243725676
58,9,0.46169354838709675,0.18327203175288503
59,5,0.2635374493927125,0.503481072918574
39,11,0.466796875,0.30325135342228376
45,9,0.5491272522522522,0.16356280221061786
52,2,0.44800101214574894,0.24175016038380925
56,6,0.4081387362637363,0.17346806743591422
44,11,0.352076802507837,0.49969543948873124
62,2,0.45744614228456915,0.21193412224992442
60,4,0.5082218109339408,0.16229130198602576
54,7,0.2980395962732919,0.44851507391254797
5,0,0.2914402173913043,0.07184796854416242
36,2,0.33425245098039214,0.14255378634506793
52,6,0.3284761235955056,0.4558890646287159
64,9,0.38020833333333337,0.30523021596622174
62,13,0.42906191806331473,0.29224045076766236
21,0,0.16089766288951846,0.1106738196617346
62,10,0.4243588262476895,0.214593451912083
58,6,0.4536913646055437,0.18456866757813858
67,12,0.36920103092783507,0.43731833626086825
62,7,0.40716019417475724,0.28709834012735275
42,2,0.24341687817258884,0.12452822119431788
51,7,0.35254726890756305,0.44140314204448233
52,5,0.4749306839186691,0.2409060546489913
3,0,-0.012745098039215641,0.04473162812486424
29,3,0.4351165254237288,0.11276488375051961
47,4,0.35400883838383834,0.4160453412619744
55,7,-0.10829741379310343,0.5629599333374522
65,13,0.4717445445920304,0.27111204262080124
48,5,0.4062211182994455,0.26482706857408556
62,5,0.480668880455408,0.3165529828722699
39,6,0.34895833333333337,0.13126283582436526
77,8,0.35685706401766004,0.379280473320403
22,0,0.2876008064516129,0.08748744359581684
38,3,0.3677083333333333,0.17841053826871203
30,3,0.4170673076923077,0.15200780010100118
63,3,0.45252732240437155,0.44799715392385736
49,5,0.23725156903765687,0.5206047004974542
52,3,0.36089601769911506,0.16668011460935758
53,13,0.20779914529914534,0.5262557207720994
41,0,0.3135931069958847,0.19054197199640843
51,7,0.30939226519337015,0.4584572182685705
64,6,0.43173640724946694,0.163353443308182
33,3,0.37460741206030146,0.13492325087717016
74,12,0.4358552631578947,0.3870512830352154
9,0,0.11782661782661785,0.06613010261358246
69,9,0.5125851167315175,0.20793627516767849
46,11,0.44209558823529416,0.24491579604238473
53,10,0.4390120967741935,0.3414433187247365
22,2,0.20906718851924333,0.09746521509420815
64,10,0.3872003424657534,0.39802120583288225
50,7,0.4777912621359224,0.2285147383794135
72,13,0.35770515267175573,0.26099929117424026
50,14,0.40990344467640916,0.19272602194034902
56,13,0.4557902452025586,0.17335218255918494
61,9,0.4584544573643411,0.28723682992587785
48,12,-0.32685467479674796,0.5734736144337921
84,6,0.2701612903225806,0.5149859412347929
3,0,0.31595271535580527,0.07571731366009096
53,10,0.019465782122905007,0.5359759308787402
69,10,0.4268192190669371,0.21164683987525942
0,0,0.05544163438900285,0.056398052761886114
57,13,0.33373955431754876,0.4664009558455701
50,1,0.40974025974025974,0.4471080811770062
70,5,0.4175067204301075,0.42076819466700527
91,21,0.451839953271028,0.33242924237320204
38,9,0.4231945777351248,0.32119139111743433
49,7,0.5202448210922788,0.2744950192416988
8,0,0.10434650916250199,0.05670123621068532
63,3,0.4219708588957055,0.17647799063884878
58,6,0.21407710280373832,0.5146250699132872
49,11,0.5351880081300813,0.3397163757228363
55,5,-0.08723021582733814,0.5702438758693479
61,7,0.06293645251396646,0.5575459363108957
81,7,0.5417542016806722,0.37639962982230524
74,8,0.47854291417165673,0.23791649531218864
68,4,0.45595723014256617,0.3324287595153336
0,0,0.0,0.033584166222563154
61,8,0.2680900127226463,0.4443144872345143
64,4,0.5252016129032258,0.3585849009397311
50,12,0.43448464912280704,0.37180580781114353
54,5,0.47170796213808464,0.16198227414443045
63,10,0.44146696891191706,0.4291290757175992
39,3,0.3479219143576826,0.12853115450021063
45,1,0.4509146341463415,0.1414000919158463
42,6,0.47939908722109537,0.1858042013353207
0,0,0.060319958038290045,0.06841164371412728
44,6,0.44559631931166344,0.22858320914901642
64,5,0.5494653880070547,0.27919307680200817
35,6,0.6077066221765913,0.34879108018104865
83,9,0.34288477198697065,0.47279240249082094
67,9,0.4114947552447552,0.3959570168937185
33,5,0.538705268389662,0.31479958749830006
40,10,0.40232329842931935,0.44341269154111157
49,6,0.45950746628131023,0.22588131459649907
4,0,0.09965842877235287,0.07422616567027668
30,0,0.2945489482200647,0.08680194112229202
46,7,0.4279989193083573,0.11229524756700278
61,11,0.3865343347639485,0.39573614026628223
34,7,0.27869106699751856,0.13971123645542713
63,12,0.40805984555984554,0.31762969184741047
48,11,-0.28125,0.5769338116183342
36,0,0.32986111111111116,0.10831745854989669
73,4,0.5259030418250951,0.26818658608569185
51,10,0.5419836956521739,0.1663113845795992
51,9,0.10824742268041232,0.5557515228316933
42,16,0.5879360465116279,0.30206508513895725
13,1,0.19133674377224197,0.07745882876740824
60,5,0.5168981481481482,0.24668950119102284
54,11,-0.10590277777777779,0.5545467835068371
55,11,0.31076388888888884,0.2575971656011533
59,15,0.33169642857142856,0.46857066387973867
88,7,0.24181547619047616,0.533021155648656
48,11,0.18476007109004744,0.5564318562437147
68,10,0.41466346153846156,0.2258837064956579
78,6,0.35233778625954193,0.5104011047729491
58,10,0.486903901734104,0.24681762619324327
69,8,0.5397727272727273,0.27213236758575554
64,8,0.465241683991684,0.17919493274802598
67,7,0.39698561946902655,0.4486741858387052
69,9,0.49616175048355904,0.21963941313093296
35,4,0.48510514018691586,0.15023665764193683
47,5,0.3911502100840336,0.3505302982640378
2,0,0.05688364055299544,0.06462501111079162
70,8,0.24942129629629628,0.5275648185698235
50,4,0.3700328947368421,0.18409170807032385
18,0,0.18273492907801414,0.07690112659420134
0,0,0.03103448275862064,0.039537206006123454
38,9,0.513910536159601,0.43751383102813807
84,8,0.326875,0.40393264647135174
29,2,0.2826844262295082,0.09322909841023809
56,5,0.4925480769230769,0.23973770459067267
49,5,0.2139328063241107,0.5016883526634947
52,10,0.3738768498942917,0.37376444031855766
51,7,0.45543981481481477,0.4042220331899524
62,8,0.48582542194092826,0.3792600822026208
48,5,0.43290441176470584,0.37930716519214913
61,9,0.44056372549019607,0.3767888509089901
61,10,0.5441013313609467,0.3627150635355837
48,7,0.5182119205298014,0.392118242389061
48,7,0.1209177927927928,0.5262423311677211
83,9,0.4474261022044088,0.30332367691587764
57,2,0.4320524530271399,0.19456805277607675
53,7,0.33803353658536583,0.3164506545041454
72,10,0.4852238430583501,0.2096928762116282
74,10,0.2536764705882353,0.47803588340197267
62,7,0.4693287037037037,0.4054638795580353
39,4,0.3467363481228669,0.49137687150616016
