world_id,world_seed,density,Nlive,Nocc8,A,Gfuture
76,3128450066999084394,0.2520590528158284,1308.7425742574258,175.56435643564356,29.37,0.1681128973328462
77,4347553228705108438,0.29151128594723175,1458.2772277227723,190.76237623762376,31.3,0.1763873660382697
78,3886740453480208027,0.20515646447022343,1373.8613861386139,183.65346534653466,30.66,0.1633777777777778
79,4105007073178522530,0.22195732594437176,1108.2673267326732,181.16831683168317,24.27,0.15105368404860792
80,4388649769425067361,0.31912802779800925,1472.049504950495,188.17821782178217,28.3,-0.0668690811826791
81,4347965022089029195,0.25940161853307714,1254.7623762376238,173.63366336633663,29.74,0.024058162590879048
82,1869873849244748427,0.31264781978165673,1371.5346534653465,179.8019801980198,29.09,0.05798189585888923
83,2666675426378792215,0.20818774506396845,1247.6831683168316,179.83168316831683,25.22,0.10152751423149903
84,3477667262591593610,0.33112902216146906,1299.2178217821781,183.07920792079207,31.19,0.007503695774073504
85,853797767349470290,0.27792684922202965,1455.6435643564357,187.88118811881188,27.12,0.15327402305447935
86,1396371989225361838,0.3369022751738865,1255.039603960396,174.66336633663366,29.09,0.12050643258919014
87,1162767268717212619,0.22088265885292213,1382.5742574257426,183.35643564356437,26.07,0.03349059351156154
88,3419917191723413613,0.21729467895621696,1420.881188118812,188.11881188118812,31.06,0.03879914660164585
89,4502743196171813344,0.3086343850198527,1371.8316831683169,180.36633663366337,28.67,0.025775193798449614
90,4354318744199254333,0.2882856169229477,1313.8217821782177,188.04950495049505,25.84,0.0928111292601905
91,1606843267162672866,0.30853719628525306,1427.6633663366338,193.52475247524754,27.78,0.08086643761214687
92,3543762345507614866,0.2079228438215205,1264.5346534653465,178.44554455445544,30.31,0.05182365221662778
93,2434607050488042215,0.33362717009419746,1152.019801980198,171.96039603960395,22.9,0.16843769043266302
94,2816669947929319323,0.30900153682261766,1118.2673267326732,163.23762376237624,27.33,0.0888903842271718
95,2643301902236899453,0.27676747119503575,1520.8613861386139,193.43564356435644,28.78,-0.004902979902979915
96,2848662137450973874,0.30038717932036685,1541.6435643564357,194.07920792079207,26.37,0.06499954861424573
97,774952742405502980,0.22327596127891194,1328.7029702970297,185.59405940594058,28.64,0.05415182968406698
98,2316887979943638684,0.3252245560555397,1378.7722772277227,190.15841584158414,30.4,0.18766562274150805
99,412389872234882975,0.23092696246201921,1334.009900990099,178.73267326732673,30.31,0.05698791220830443
100,2677655576239362089,0.27137306986578086,1338.019801980198,181.009900990099,31.15,0.16101340033500838
101,4536399452041374067,0.3176586033704894,1404.3366336633662,190.14851485148515,28.4,0.09328907900108271
102,901011055201482972,0.28530099089373184,1351.7029702970297,179.4950495049505,32.17,0.09300434397710663
103,3066904600159404624,0.21243958918694267,1311.5346534653465,181.37623762376236,31.65,0.08946608946608944
104,1198685933336022622,0.2916343040517217,1514.049504950495,192.30693069306932,34.34,-0.03818142641672053
105,3086590264043597521,0.3413819291764306,1659.2178217821781,198.82178217821783,35.48,0.12534708167337752
106,1138566867360404501,0.3240970121258632,1426.079207920792,185.4257425742574,33.03,0.1241463414634146
107,3698911339859544150,0.2918390024344234,1432.4554455445545,193.1881188118812,27.36,0.052699833591553336
